algorithm,mu,lambda_,cxpb,mutpb,repair_pct,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,phi1,phi2,smin,smax,weight,mut_std,mut_indpb,mut_prob,temp,alpha
MuPlusLambda,42.0,231.0,0.82,0.18000000000000005,0.55,0.43,0.0,0.41,0.92,100,120,108,12,0,0,196,0.0,215,,,,,,,,,,
ParticleSwarm,24.0,,,,0.99,,,,,100,120,108,12,0,0,196,7.0,355,0.37,2.38,-0.36,0.36,0.45,,,,,
MuPlusLambda,181.0,211.0,0.48,0.52,0.73,0.34,0.0,1.64,0.1,100,120,108,12,0,0,196,0.0,187,,,,,,,,,,
ParticleSwarm,31.0,,,,0.28,,,,,100,120,108,12,0,0,196,6.0,453,1.28,0.86,-0.29,0.29,0.72,,,,,
MuPlusLambda,28.0,103.0,0.52,0.48,0.37,0.63,0.0,1.97,0.49,100,120,108,12,0,0,196,0.0,186,,,,,,,,,,
MuPlusLambda,201.0,179.0,0.33,0.6699999999999999,0.98,0.76,0.0,1.16,0.65,100,120,108,12,0,0,196,0.0,172,,,,,,,,,,
SimulatedAnnealing,4.0,,,,0.6,,,,,100,120,108,12,0,0,196,0.0,359,,,,,,0.58,,0.83,48.34,0.97
SimulatedAnnealing,14.0,,,,0.92,,,,,100,120,108,12,0,0,196,0.0,282,,,,,,1.64,,0.22,35.62,0.99
PlantPropagation,157.0,151.0,,,0.92,,,,,100,120,108,12,0,0,196,2.0,327,,,,,,0.2,0.78,,,
MuPlusLambda,208.0,222.0,0.8,0.19999999999999996,0.38,0.98,0.0,0.36,0.59,100,120,108,12,0,0,196,0.0,219,,,,,,,,,,
MuPlusLambda,28.0,180.0,0.94,0.06000000000000005,0.38,0.16,0.0,0.97,0.56,100,120,108,12,0,0,196,0.0,205,,,,,,,,,,
ParticleSwarm,84.0,,,,0.63,,,,,100,120,108,12,0,0,196,0.0,139,7.58,3.04,-1.52,1.52,0.82,,,,,
StochasticHillClimb,33.0,,,,0.81,,,,,100,120,108,12,0,0,196,0.0,232,,,,,,1.51,,1.0,,
MuPlusLambda,207.0,132.0,0.5,0.5,0.11,0.66,0.0,0.75,0.7,100,120,108,12,0,0,196,0.0,170,,,,,,,,,,
SimulatedAnnealing,42.0,,,,0.0,,,,,100,120,108,12,0,0,196,2670.0,272,,,,,,0.28,,0.75,18.66,0.96
StochasticHillClimb,41.0,,,,0.29,,,,,100,120,108,12,0,0,196,0.0,200,,,,,,1.27,,0.04,,
ParticleSwarm,194.0,,,,0.83,,,,,100,120,108,12,0,0,196,0.0,264,1.01,0.44,-0.46,0.46,0.9,,,,,
StochasticHillClimb,33.0,,,,0.17,,,,,100,120,108,12,0,0,196,0.0,220,,,,,,0.72,,0.18,,
ParticleSwarm,197.0,,,,0.31,,,,,100,120,108,12,0,0,196,0.0,227,0.61,1.46,-0.78,0.78,0.49,,,,,
MuPlusLambda,10.0,140.0,0.47,0.53,0.85,0.4,0.0,0.85,0.62,100,120,108,12,0,0,196,0.0,223,,,,,,,,,,
StochasticHillClimb,17.0,,,,0.75,,,,,100,120,108,12,0,0,196,0.0,211,,,,,,0.71,,0.65,,
SimulatedAnnealing,40.0,,,,0.11,,,,,100,120,108,12,0,0,196,0.0,352,,,,,,1.05,,0.79,132.73,0.82
ParticleSwarm,13.0,,,,0.07,,,,,100,120,108,12,0,0,196,0.0,114,6.73,9.77,-1.76,1.76,0.57,,,,,
MuPlusLambda,212.0,238.0,0.6,0.4,0.14,0.14,0.0,1.27,0.19,100,120,108,12,0,0,196,0.0,162,,,,,,,,,,
SimulatedAnnealing,42.0,,,,0.24,,,,,100,120,108,12,0,0,196,0.0,261,,,,,,0.93,,0.11,187.5,0.85
MuPlusLambda,62.0,71.0,0.71,0.29000000000000004,0.25,0.75,0.0,0.74,0.81,100,120,108,12,0,0,196,0.0,172,,,,,,,,,,
MuPlusLambda,31.0,218.0,0.29,0.71,0.14,0.03,0.0,1.26,0.28,100,120,108,12,0,0,196,0.0,169,,,,,,,,,,
StochasticHillClimb,30.0,,,,0.69,,,,,100,120,108,12,0,0,196,0.0,188,,,,,,0.65,,0.61,,
SimulatedAnnealing,37.0,,,,0.85,,,,,100,120,108,12,0,0,196,0.0,292,,,,,,0.58,,0.96,150.11,0.82
SimulatedAnnealing,21.0,,,,0.7,,,,,100,120,108,12,0,0,196,6.0,352,,,,,,0.17,,0.87,50.71,0.82
SimulatedAnnealing,13.0,,,,0.6,,,,,100,120,108,12,0,0,196,0.0,311,,,,,,1.34,,0.08,74.44,0.98
ParticleSwarm,294.0,,,,0.5,,,,,100,120,108,12,0,0,196,0.0,158,9.75,9.92,-0.66,0.66,0.99,,,,,
ParticleSwarm,256.0,,,,0.02,,,,,100,120,108,12,0,0,196,0.0,151,5.96,1.46,-1.67,1.67,0.46,,,,,
StochasticHillClimb,9.0,,,,0.45,,,,,100,120,108,12,0,0,196,0.0,190,,,,,,1.9,,0.42,,
StochasticHillClimb,43.0,,,,0.88,,,,,100,120,108,12,0,0,196,0.0,359,,,,,,0.3,,0.78,,
MuPlusLambda,55.0,212.0,0.03,0.97,0.4,0.93,0.0,0.11,0.36,100,120,108,12,0,0,196,0.0,236,,,,,,,,,,
StochasticHillClimb,30.0,,,,0.34,,,,,100,120,108,12,0,0,196,0.0,254,,,,,,1.22,,0.56,,
PlantPropagation,275.0,121.0,,,0.1,,,,,100,120,108,12,0,0,196,16.0,254,,,,,,1.82,0.69,,,
PlantPropagation,179.0,213.0,,,0.52,,,,,100,120,108,12,0,0,196,0.0,263,,,,,,1.07,0.59,,,
MuPlusLambda,220.0,131.0,0.66,0.33999999999999997,0.45,0.14,0.0,0.69,0.92,100,120,108,12,0,0,196,0.0,195,,,,,,,,,,
SimulatedAnnealing,49.0,,,,0.76,,,,,100,120,108,12,0,0,196,0.0,284,,,,,,0.99,,0.64,41.93,0.9
ParticleSwarm,239.0,,,,0.94,,,,,100,120,108,12,0,0,196,0.0,206,5.19,0.51,-1.14,1.14,0.13,,,,,
ParticleSwarm,30.0,,,,0.63,,,,,100,120,108,12,0,0,196,12.0,296,5.94,2.48,-0.44,0.44,0.33,,,,,
PlantPropagation,105.0,81.0,,,0.69,,,,,100,120,108,12,0,0,196,0.0,300,,,,,,0.32,0.57,,,
ParticleSwarm,139.0,,,,0.59,,,,,100,120,108,12,0,0,196,0.0,139,5.16,3.95,-1.61,1.61,0.46,,,,,
MuPlusLambda,290.0,21.0,0.07,0.9299999999999999,0.34,0.49,0.0,0.75,0.52,100,120,108,12,0,0,196,0.0,193,,,,,,,,,,
SimulatedAnnealing,46.0,,,,0.81,,,,,100,120,108,12,0,0,196,9.0,360,,,,,,0.28,,0.74,57.68,0.8
SimulatedAnnealing,7.0,,,,0.6,,,,,100,120,108,12,0,0,196,70.0,368,,,,,,0.38,,0.52,134.64,0.86
SimulatedAnnealing,36.0,,,,0.46,,,,,100,120,108,12,0,0,196,0.0,282,,,,,,1.17,,0.66,79.33,0.84
SimulatedAnnealing,32.0,,,,0.94,,,,,100,120,108,12,0,0,196,0.0,277,,,,,,1.99,,0.37,192.71,0.87
SimulatedAnnealing,16.0,,,,0.11,,,,,100,120,108,12,0,0,196,0.0,309,,,,,,1.8,,0.08,158.49,0.92
ParticleSwarm,148.0,,,,0.77,,,,,100,120,108,12,0,0,196,0.0,143,9.46,7.36,-1.35,1.35,0.43,,,,,
ParticleSwarm,88.0,,,,0.64,,,,,100,120,108,12,0,0,196,0.0,284,1.18,2.72,-0.12,0.12,0.55,,,,,
PlantPropagation,205.0,35.0,,,0.84,,,,,100,120,108,12,0,0,196,8.0,238,,,,,,0.43,0.25,,,
StochasticHillClimb,24.0,,,,0.07,,,,,100,120,108,12,0,0,196,0.0,227,,,,,,0.97,,0.85,,
StochasticHillClimb,32.0,,,,0.79,,,,,100,120,108,12,0,0,196,7.0,361,,,,,,0.11,,0.27,,
SimulatedAnnealing,28.0,,,,0.38,,,,,100,120,108,12,0,0,196,0.0,292,,,,,,1.32,,0.44,175.19,0.81
MuPlusLambda,156.0,232.0,0.34,0.6599999999999999,0.46,0.46,0.0,0.12,0.3,100,120,108,12,0,0,196,7.0,258,,,,,,,,,,
ParticleSwarm,213.0,,,,0.57,,,,,100,120,108,12,0,0,196,0.0,143,9.3,9.56,-0.97,0.97,0.98,,,,,
ParticleSwarm,88.0,,,,0.84,,,,,100,120,108,12,0,0,196,0.0,321,0.57,0.44,-0.4,0.4,0.62,,,,,
MuPlusLambda,198.0,51.0,0.41,0.5900000000000001,0.15,0.51,0.0,0.42,0.65,100,120,108,12,0,0,196,0.0,176,,,,,,,,,,
ParticleSwarm,134.0,,,,0.15,,,,,100,120,108,12,0,0,196,0.0,235,4.17,0.91,-1.36,1.36,0.47,,,,,
ParticleSwarm,172.0,,,,0.43,,,,,100,120,108,12,0,0,196,0.0,145,8.38,2.21,-1.09,1.09,0.86,,,,,
StochasticHillClimb,30.0,,,,0.33,,,,,100,120,108,12,0,0,196,0.0,241,,,,,,1.7,,0.34,,
SimulatedAnnealing,45.0,,,,0.27,,,,,100,120,108,12,0,0,196,0.0,272,,,,,,1.69,,0.15,140.39,0.81
PlantPropagation,186.0,210.0,,,0.52,,,,,100,120,108,12,0,0,196,2.0,313,,,,,,0.8,0.58,,,
SimulatedAnnealing,44.0,,,,0.44,,,,,100,120,108,12,0,0,196,7.0,331,,,,,,0.48,,0.91,144.85,0.94
PlantPropagation,207.0,127.0,,,0.59,,,,,100,120,108,12,0,0,196,6.0,295,,,,,,0.71,0.15,,,
ParticleSwarm,123.0,,,,0.38,,,,,100,120,108,12,0,0,196,0.0,246,7.2,7.35,-0.9,0.9,0.25,,,,,
ParticleSwarm,18.0,,,,0.35,,,,,100,120,108,12,0,0,196,0.0,238,6.21,0.25,-0.97,0.97,0.45,,,,,
StochasticHillClimb,45.0,,,,0.16,,,,,100,120,108,12,0,0,196,5.0,349,,,,,,0.13,,0.88,,
MuPlusLambda,235.0,177.0,0.26,0.74,0.54,0.72,0.0,0.46,0.27,100,120,108,12,0,0,196,0.0,184,,,,,,,,,,
PlantPropagation,113.0,299.0,,,0.46,,,,,100,120,108,12,0,0,196,47.0,276,,,,,,0.26,0.35,,,
SimulatedAnnealing,44.0,,,,0.68,,,,,100,120,108,12,0,0,196,0.0,238,,,,,,0.58,,0.73,79.53,0.99
StochasticHillClimb,37.0,,,,0.05,,,,,100,120,108,12,0,0,196,27.0,281,,,,,,0.3,,0.21,,
PlantPropagation,67.0,194.0,,,0.91,,,,,100,120,108,12,0,0,196,0.0,235,,,,,,1.91,0.24,,,
SimulatedAnnealing,42.0,,,,0.12,,,,,100,120,108,12,0,0,196,0.0,345,,,,,,0.93,,0.45,45.79,0.81
StochasticHillClimb,29.0,,,,0.96,,,,,100,120,108,12,0,0,196,0.0,209,,,,,,1.51,,0.4,,
SimulatedAnnealing,35.0,,,,0.07,,,,,100,120,108,12,0,0,196,0.0,411,,,,,,1.36,,0.97,87.21,0.91
StochasticHillClimb,17.0,,,,0.78,,,,,100,120,108,12,0,0,196,22.0,309,,,,,,0.28,,0.62,,
MuPlusLambda,75.0,69.0,0.93,0.06999999999999995,0.41,0.23,0.0,1.59,0.67,100,120,108,12,0,0,196,0.0,192,,,,,,,,,,
ParticleSwarm,47.0,,,,0.8,,,,,100,120,108,12,0,0,196,0.0,306,8.25,9.66,-0.38,0.38,0.51,,,,,
SimulatedAnnealing,36.0,,,,0.72,,,,,100,120,108,12,0,0,196,0.0,267,,,,,,1.8,,0.43,32.13,0.83
SimulatedAnnealing,35.0,,,,0.58,,,,,100,120,108,12,0,0,196,0.0,317,,,,,,1.67,,0.82,64.03,0.81
ParticleSwarm,14.0,,,,0.44,,,,,100,120,108,12,0,0,196,0.0,133,9.7,3.99,-1.77,1.77,0.59,,,,,
PlantPropagation,34.0,72.0,,,0.03,,,,,100,120,108,12,0,0,196,122.0,277,,,,,,0.27,0.01,,,
MuPlusLambda,224.0,200.0,0.84,0.16000000000000003,0.13,0.36,0.0,1.08,0.86,100,120,108,12,0,0,196,0.0,171,,,,,,,,,,
StochasticHillClimb,23.0,,,,0.04,,,,,100,120,108,12,0,0,196,0.0,173,,,,,,0.61,,0.59,,
SimulatedAnnealing,24.0,,,,0.63,,,,,100,120,108,12,0,0,196,0.0,259,,,,,,1.29,,0.12,160.72,0.93
SimulatedAnnealing,13.0,,,,0.47,,,,,100,120,108,12,0,0,196,28.0,370,,,,,,0.45,,1.0,22.96,0.88
SimulatedAnnealing,26.0,,,,0.47,,,,,100,120,108,12,0,0,196,0.0,280,,,,,,1.94,,0.32,49.54,0.88
MuPlusLambda,142.0,109.0,0.05,0.95,0.79,0.7,0.0,0.68,0.07,100,120,108,12,0,0,196,0.0,194,,,,,,,,,,
SimulatedAnnealing,36.0,,,,0.99,,,,,100,120,108,12,0,0,196,0.0,264,,,,,,0.69,,0.04,106.4,0.85
PlantPropagation,201.0,112.0,,,0.27,,,,,100,120,108,12,0,0,196,22.0,295,,,,,,0.17,0.66,,,
MuPlusLambda,30.0,117.0,0.03,0.97,0.66,0.23,0.0,0.2,0.41,100,120,108,12,0,0,196,0.0,213,,,,,,,,,,
SimulatedAnnealing,6.0,,,,0.57,,,,,100,120,108,12,0,0,196,0.0,284,,,,,,1.71,,0.66,187.62,0.88
SimulatedAnnealing,24.0,,,,0.16,,,,,100,120,108,12,0,0,196,31.0,312,,,,,,0.32,,0.3,198.02,0.92
SimulatedAnnealing,32.0,,,,0.66,,,,,100,120,108,12,0,0,196,0.0,313,,,,,,0.11,,0.72,124.46,0.97
StochasticHillClimb,4.0,,,,0.73,,,,,100,120,108,12,0,0,196,0.0,180,,,,,,1.58,,0.41,,
ParticleSwarm,176.0,,,,0.06,,,,,100,120,108,12,0,0,196,0.0,163,7.03,9.88,-1.16,1.16,0.88,,,,,
PlantPropagation,92.0,107.0,,,0.62,,,,,100,120,108,12,0,0,196,7.0,344,,,,,,0.47,0.04,,,
PlantPropagation,10.0,79.0,,,1.0,,,,,100,120,108,12,0,0,196,18.0,267,,,,,,0.75,0.55,,,
StochasticHillClimb,32.0,,,,0.21,,,,,100,120,108,12,0,0,196,0.0,231,,,,,,1.09,,0.12,,
SimulatedAnnealing,7.0,,,,0.8,,,,,100,120,108,12,0,0,196,0.0,322,,,,,,1.24,,0.89,24.5,0.86
MuPlusLambda,114.0,232.0,0.0,1.0,0.2,0.59,0.0,0.3,0.8,100,120,108,12,0,0,196,0.0,198,,,,,,,,,,
MuPlusLambda,20.0,55.0,0.07,0.9299999999999999,0.58,0.36,0.0,1.33,0.79,100,120,108,12,0,0,196,0.0,224,,,,,,,,,,
ParticleSwarm,292.0,,,,0.45,,,,,100,120,108,12,0,0,196,0.0,224,3.44,7.64,-1.07,1.07,0.3,,,,,
SimulatedAnnealing,4.0,,,,0.06,,,,,100,120,108,12,0,0,196,0.0,498,,,,,,0.78,,0.67,78.49,0.82
MuPlusLambda,259.0,162.0,0.61,0.39,0.18,0.7,0.0,0.8,0.89,100,120,108,12,0,0,196,0.0,191,,,,,,,,,,
SimulatedAnnealing,41.0,,,,0.09,,,,,100,120,108,12,0,0,196,0.0,298,,,,,,0.73,,0.83,101.95,0.86
PlantPropagation,173.0,160.0,,,0.74,,,,,100,120,108,12,0,0,196,0.0,232,,,,,,1.34,0.56,,,
ParticleSwarm,52.0,,,,0.33,,,,,100,120,108,12,0,0,196,0.0,147,3.2,5.02,-1.28,1.28,0.89,,,,,
StochasticHillClimb,31.0,,,,0.11,,,,,100,120,108,12,0,0,196,18.0,289,,,,,,0.48,,0.51,,
MuPlusLambda,243.0,180.0,0.7,0.30000000000000004,0.25,0.01,0.0,1.79,0.28,100,120,108,12,0,0,196,0.0,197,,,,,,,,,,
PlantPropagation,243.0,283.0,,,0.76,,,,,100,120,108,12,0,0,196,0.0,234,,,,,,1.66,0.56,,,
SimulatedAnnealing,15.0,,,,0.51,,,,,100,120,108,12,0,0,196,0.0,321,,,,,,1.4,,0.44,74.41,0.92
MuPlusLambda,177.0,266.0,0.02,0.98,0.74,0.94,0.0,0.69,0.83,100,120,108,12,0,0,196,0.0,176,,,,,,,,,,
SimulatedAnnealing,42.0,,,,0.39,,,,,100,120,108,12,0,0,196,1.0,347,,,,,,0.44,,0.87,97.22,0.99
SimulatedAnnealing,27.0,,,,0.48,,,,,100,120,108,12,0,0,196,14.0,376,,,,,,0.15,,0.44,138.87,0.84
PlantPropagation,149.0,290.0,,,0.94,,,,,100,120,108,12,0,0,196,0.0,238,,,,,,1.43,0.98,,,
PlantPropagation,220.0,58.0,,,0.63,,,,,100,120,108,12,0,0,196,0.0,251,,,,,,1.64,0.89,,,
SimulatedAnnealing,34.0,,,,0.48,,,,,100,120,108,12,0,0,196,0.0,278,,,,,,1.79,,0.44,20.91,0.86
SimulatedAnnealing,12.0,,,,0.71,,,,,100,120,108,12,0,0,196,0.0,310,,,,,,1.51,,0.57,165.88,0.86
PlantPropagation,17.0,123.0,,,0.98,,,,,100,120,108,12,0,0,196,1.0,204,,,,,,0.3,0.43,,,
SimulatedAnnealing,29.0,,,,0.04,,,,,100,120,108,12,0,0,196,5.0,369,,,,,,0.41,,0.56,46.24,0.83
PlantPropagation,107.0,264.0,,,0.45,,,,,100,120,108,12,0,0,196,28.0,236,,,,,,0.18,0.83,,,
SimulatedAnnealing,18.0,,,,0.88,,,,,100,120,108,12,0,0,196,0.0,287,,,,,,0.52,,0.97,16.84,0.9
MuPlusLambda,71.0,249.0,0.42,0.5800000000000001,0.64,0.26,0.0,0.18,0.07,100,120,108,12,0,0,196,0.0,244,,,,,,,,,,
StochasticHillClimb,16.0,,,,0.87,,,,,100,120,108,12,0,0,196,0.0,191,,,,,,0.88,,0.36,,
MuPlusLambda,171.0,232.0,0.72,0.28,0.97,0.2,0.0,1.85,0.39,100,120,108,12,0,0,196,0.0,192,,,,,,,,,,
StochasticHillClimb,42.0,,,,0.29,,,,,100,120,108,12,0,0,196,0.0,242,,,,,,0.59,,0.23,,
StochasticHillClimb,33.0,,,,0.18,,,,,100,120,108,12,0,0,196,10.0,388,,,,,,0.2,,0.11,,
MuPlusLambda,204.0,46.0,0.21,0.79,0.62,0.89,0.0,1.56,0.51,100,120,108,12,0,0,196,0.0,196,,,,,,,,,,
ParticleSwarm,299.0,,,,0.26,,,,,100,120,108,12,0,0,196,0.0,225,7.7,5.61,-0.56,0.56,0.54,,,,,
MuPlusLambda,235.0,122.0,0.44,0.56,0.67,0.62,0.0,0.29,0.22,100,120,108,12,0,0,196,0.0,197,,,,,,,,,,
MuPlusLambda,25.0,214.0,0.1,0.9,0.87,0.06,0.0,0.27,0.51,100,120,108,12,0,0,196,0.0,214,,,,,,,,,,
StochasticHillClimb,24.0,,,,0.23,,,,,100,120,108,12,0,0,196,0.0,207,,,,,,1.72,,0.16,,
PlantPropagation,168.0,31.0,,,0.9,,,,,100,120,108,12,0,0,196,3.0,247,,,,,,0.36,0.07,,,
ParticleSwarm,264.0,,,,0.34,,,,,100,120,108,12,0,0,196,0.0,243,1.86,4.8,-1.2,1.2,0.41,,,,,
SimulatedAnnealing,28.0,,,,0.99,,,,,100,120,108,12,0,0,196,0.0,279,,,,,,0.71,,0.53,11.92,0.87
PlantPropagation,241.0,168.0,,,0.7,,,,,100,120,108,12,0,0,196,8.0,276,,,,,,0.63,0.89,,,
SimulatedAnnealing,40.0,,,,0.4,,,,,100,120,108,12,0,0,196,0.0,258,,,,,,1.5,,0.59,67.16,0.91
StochasticHillClimb,46.0,,,,0.32,,,,,100,120,108,12,0,0,196,0.0,242,,,,,,0.96,,0.56,,
ParticleSwarm,82.0,,,,0.57,,,,,100,120,108,12,0,0,196,0.0,151,3.93,4.77,-1.38,1.38,0.84,,,,,
PlantPropagation,13.0,214.0,,,0.9,,,,,100,120,108,12,0,0,196,0.0,238,,,,,,0.4,0.73,,,
SimulatedAnnealing,23.0,,,,0.42,,,,,100,120,108,12,0,0,196,0.0,276,,,,,,0.53,,0.69,82.81,0.98
ParticleSwarm,49.0,,,,0.58,,,,,100,120,108,12,0,0,196,0.0,326,3.12,5.7,-0.14,0.14,0.21,,,,,
MuPlusLambda,191.0,230.0,0.97,0.030000000000000027,0.71,0.54,0.0,1.56,0.35,100,120,108,12,0,0,196,0.0,187,,,,,,,,,,
ParticleSwarm,299.0,,,,0.51,,,,,100,120,108,12,0,0,196,0.0,137,1.55,5.2,-1.5,1.5,0.36,,,,,
MuPlusLambda,46.0,261.0,0.8,0.19999999999999996,0.47,0.39,0.0,1.17,0.57,100,120,108,12,0,0,196,0.0,189,,,,,,,,,,
StochasticHillClimb,15.0,,,,0.21,,,,,100,120,108,12,0,0,196,0.0,162,,,,,,0.7,,0.38,,
ParticleSwarm,173.0,,,,0.54,,,,,100,120,108,12,0,0,196,0.0,177,7.26,8.88,-1.51,1.51,0.31,,,,,
SimulatedAnnealing,3.0,,,,0.09,,,,,100,120,108,12,0,0,196,0.0,369,,,,,,1.64,,0.58,5.8,0.97
SimulatedAnnealing,12.0,,,,0.64,,,,,100,120,108,12,0,0,196,0.0,295,,,,,,1.72,,0.11,157.54,0.98
StochasticHillClimb,48.0,,,,0.21,,,,,100,120,108,12,0,0,196,0.0,259,,,,,,1.23,,1.0,,
ParticleSwarm,232.0,,,,0.9,,,,,100,120,108,12,0,0,196,0.0,151,3.69,9.33,-1.94,1.94,0.16,,,,,
PlantPropagation,118.0,277.0,,,0.82,,,,,100,120,108,12,0,0,196,0.0,270,,,,,,0.39,0.25,,,
PlantPropagation,225.0,111.0,,,0.94,,,,,100,120,108,12,0,0,196,0.0,228,,,,,,1.71,0.06,,,
ParticleSwarm,133.0,,,,0.66,,,,,100,120,108,12,0,0,196,0.0,136,6.46,4.18,-0.8,0.8,0.69,,,,,
SimulatedAnnealing,11.0,,,,0.3,,,,,100,120,108,12,0,0,196,0.0,350,,,,,,0.94,,0.7,95.71,0.89
SimulatedAnnealing,6.0,,,,0.54,,,,,100,120,108,12,0,0,196,0.0,353,,,,,,1.8,,0.71,62.84,0.83
SimulatedAnnealing,28.0,,,,0.45,,,,,100,120,108,12,0,0,196,0.0,276,,,,,,1.79,,0.55,23.45,0.83
SimulatedAnnealing,2.0,,,,0.3,,,,,100,120,108,12,0,0,196,0.0,393,,,,,,1.38,,0.9,47.17,0.9
PlantPropagation,70.0,221.0,,,0.96,,,,,100,120,108,12,0,0,196,0.0,252,,,,,,0.78,0.98,,,
SimulatedAnnealing,9.0,,,,0.76,,,,,100,120,108,12,0,0,196,0.0,302,,,,,,1.77,,0.02,23.5,0.91
MuPlusLambda,24.0,183.0,0.32,0.6799999999999999,0.23,0.17,0.0,1.55,0.28,100,120,108,12,0,0,196,0.0,166,,,,,,,,,,
ParticleSwarm,275.0,,,,0.21,,,,,100,120,108,12,0,0,196,0.0,142,2.01,9.42,-2.0,2.0,0.26,,,,,
ParticleSwarm,102.0,,,,0.36,,,,,100,120,108,12,0,0,196,0.0,133,8.63,1.1,-1.88,1.88,0.51,,,,,
SimulatedAnnealing,29.0,,,,0.41,,,,,100,120,108,12,0,0,196,0.0,263,,,,,,0.61,,0.68,176.67,0.82
PlantPropagation,28.0,288.0,,,0.28,,,,,100,120,108,12,0,0,196,47.0,255,,,,,,0.49,0.95,,,
MuPlusLambda,83.0,19.0,0.39,0.61,0.01,0.47,0.0,1.8,0.74,100,120,108,12,0,0,196,0.0,150,,,,,,,,,,
ParticleSwarm,282.0,,,,0.39,,,,,100,120,108,12,0,0,196,0.0,154,4.96,6.64,-1.72,1.72,0.47,,,,,
MuPlusLambda,276.0,292.0,0.77,0.22999999999999998,0.95,0.97,0.0,0.6,0.4,100,120,108,12,0,0,196,0.0,201,,,,,,,,,,
ParticleSwarm,76.0,,,,0.65,,,,,100,120,108,12,0,0,196,0.0,131,6.31,2.76,-1.06,1.06,0.86,,,,,
StochasticHillClimb,23.0,,,,0.93,,,,,100,120,108,12,0,0,196,0.0,213,,,,,,0.68,,0.67,,
SimulatedAnnealing,25.0,,,,0.72,,,,,100,120,108,12,0,0,196,0.0,270,,,,,,0.85,,0.29,75.3,0.81
MuPlusLambda,138.0,17.0,0.49,0.51,0.69,0.75,0.0,1.41,0.95,100,120,108,12,0,0,196,0.0,191,,,,,,,,,,
MuPlusLambda,138.0,70.0,0.01,0.99,0.96,0.64,0.0,0.33,0.75,100,120,108,12,0,0,196,0.0,185,,,,,,,,,,
PlantPropagation,299.0,291.0,,,0.95,,,,,100,120,108,12,0,0,196,0.0,222,,,,,,1.27,0.14,,,
MuPlusLambda,279.0,283.0,0.12,0.88,0.27,0.79,0.0,0.54,0.14,100,120,108,12,0,0,196,0.0,190,,,,,,,,,,
SimulatedAnnealing,50.0,,,,0.25,,,,,100,120,108,12,0,0,196,0.0,278,,,,,,1.34,,0.05,118.41,0.82
ParticleSwarm,203.0,,,,0.92,,,,,100,120,108,12,0,0,196,0.0,206,8.72,2.46,-0.9,0.9,0.35,,,,,
MuPlusLambda,186.0,93.0,0.23,0.77,0.08,0.94,0.0,1.26,0.07,100,120,108,12,0,0,196,0.0,156,,,,,,,,,,
MuPlusLambda,142.0,180.0,0.26,0.74,0.86,0.86,0.0,0.64,0.32,100,120,108,12,0,0,196,0.0,181,,,,,,,,,,
ParticleSwarm,153.0,,,,0.92,,,,,100,120,108,12,0,0,196,0.0,213,7.17,1.08,-0.77,0.77,0.52,,,,,
StochasticHillClimb,39.0,,,,0.06,,,,,100,120,108,12,0,0,196,0.0,218,,,,,,1.05,,0.21,,
StochasticHillClimb,10.0,,,,0.69,,,,,100,120,108,12,0,0,196,32.0,341,,,,,,0.22,,0.47,,
PlantPropagation,148.0,278.0,,,0.67,,,,,100,120,108,12,0,0,196,0.0,227,,,,,,0.88,0.29,,,
PlantPropagation,220.0,165.0,,,0.44,,,,,100,120,108,12,0,0,196,0.0,249,,,,,,1.77,0.26,,,
ParticleSwarm,39.0,,,,0.03,,,,,100,120,108,12,0,0,196,16.0,236,1.31,1.47,-1.01,1.01,0.5,,,,,
SimulatedAnnealing,42.0,,,,0.04,,,,,100,120,108,12,0,0,196,0.0,332,,,,,,0.38,,0.12,27.82,0.98
SimulatedAnnealing,11.0,,,,0.83,,,,,100,120,108,12,0,0,196,0.0,285,,,,,,1.13,,0.66,139.81,0.8
StochasticHillClimb,25.0,,,,0.35,,,,,100,120,108,12,0,0,196,0.0,203,,,,,,1.23,,0.25,,
StochasticHillClimb,10.0,,,,0.89,,,,,100,120,108,12,0,0,196,19.0,407,,,,,,0.44,,0.78,,
PlantPropagation,232.0,120.0,,,0.2,,,,,100,120,108,12,0,0,196,0.0,290,,,,,,1.23,0.65,,,
ParticleSwarm,150.0,,,,0.94,,,,,100,120,108,12,0,0,196,0.0,164,2.38,9.5,-1.48,1.48,0.35,,,,,
StochasticHillClimb,43.0,,,,0.03,,,,,100,120,108,12,0,0,196,0.0,189,,,,,,1.37,,0.06,,
StochasticHillClimb,15.0,,,,0.54,,,,,100,120,108,12,0,0,196,0.0,216,,,,,,1.56,,0.88,,
PlantPropagation,245.0,197.0,,,0.27,,,,,100,120,108,12,0,0,196,71.0,266,,,,,,0.25,0.11,,,
SimulatedAnnealing,15.0,,,,0.03,,,,,100,120,108,12,0,0,196,0.0,555,,,,,,1.74,,0.74,156.1,0.88
MuPlusLambda,211.0,218.0,0.06,0.94,0.96,0.84,0.0,0.4,0.08,100,120,108,12,0,0,196,0.0,229,,,,,,,,,,
SimulatedAnnealing,48.0,,,,0.66,,,,,100,120,108,12,0,0,196,0.0,258,,,,,,1.09,,0.77,78.87,0.86
