algorithm,mu,mut_prob,mut_std,temp,alpha,repair_pct,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,lambda_,cxpb,mutpb,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,mut_indpb,phi1,phi2,smin,smax,weight
PlantPropagation,200.0,,2.0,,,1.0,217,332,326,6,0,306.0,431,0.0,592,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,217,332,326,6,0,306.0,431,62.0,383,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,217,332,326,6,0,306.0,431,0.0,599,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,217,332,326,6,0,306.0,431,0.0,697,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,217,332,326,6,0,306.0,431,0.0,445,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,115,174,168,6,0,6.0,371,0.0,386,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,115,174,168,6,0,6.0,371,2.0,282,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,115,174,168,6,0,6.0,371,0.0,286,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,115,174,168,6,0,6.0,371,0.0,658,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,115,174,168,6,0,6.0,371,0.0,439,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,63,80,73,7,0,12.0,191,0.0,122,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,63,80,73,7,0,12.0,191,0.0,297,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,63,80,73,7,0,12.0,191,0.0,115,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,63,80,73,7,0,12.0,191,0.0,166,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,63,80,73,7,0,12.0,191,0.0,221,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,170,282,279,3,0,2648.0,430,0.0,480,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,170,282,279,3,0,2648.0,430,113.0,522,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,170,282,279,3,0,2648.0,430,435.0,370,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,170,282,279,3,0,2648.0,430,0.0,494,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,170,282,279,3,0,2648.0,430,0.0,795,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,474,727,718,9,0,5019.0,332,0.0,546,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,474,727,718,9,0,5019.0,332,0.0,1264,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,474,727,718,9,0,5019.0,332,0.0,554,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,474,727,718,9,0,5019.0,332,837.0,322,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,474,727,718,9,0,5019.0,332,0.0,572,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,330,360,352,8,0,6028.0,464,0.0,421,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,330,360,352,8,0,6028.0,464,0.0,541,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,330,360,352,8,0,6028.0,464,0.0,489,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,330,360,352,8,0,6028.0,464,0.0,827,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,330,360,352,8,0,6028.0,464,164.0,337,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,235,384,368,16,0,0.0,689,0.0,1055,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,235,384,368,16,0,0.0,689,0.0,892,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,235,384,368,16,0,0.0,689,0.0,990,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,235,384,368,16,0,0.0,689,0.0,743,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,235,384,368,16,0,0.0,689,43.0,654,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,97,149,132,17,0,0.0,386,0.0,287,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,97,149,132,17,0,0.0,386,0.0,421,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,97,149,132,17,0,0.0,386,0.0,590,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,97,149,132,17,0,0.0,386,0.0,412,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,97,149,132,17,0,0.0,386,0.0,286,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,19,35,24,11,0,0.0,96,0.0,69,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,19,35,24,11,0,0.0,96,0.0,14,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,19,35,24,11,0,0.0,96,0.0,14,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,19,35,24,11,0,0.0,96,0.0,34,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,19,35,24,11,0,0.0,96,0.0,202,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,490,560,541,19,0,3574.0,427,0.0,611,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,490,560,541,19,0,3574.0,427,0.0,528,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,490,560,541,19,0,3574.0,427,0.0,704,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,490,560,541,19,0,3574.0,427,608.0,374,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,490,560,541,19,0,3574.0,427,0.0,1001,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,20,25,24,1,0,0.0,98,0.0,55,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,20,25,24,1,0,0.0,98,0.0,124,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,20,25,24,1,0,0.0,98,0.0,56,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,20,25,24,1,0,0.0,98,0.0,44,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,20,25,24,1,0,0.0,98,0.0,210,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,408,738,731,7,0,1999.0,507,632.0,441,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,408,738,731,7,0,1999.0,507,0.0,711,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,408,738,731,7,0,1999.0,507,0.0,717,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,408,738,731,7,0,1999.0,507,0.0,633,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,408,738,731,7,0,1999.0,507,0.0,1089,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,83,156,140,16,0,0.0,229,0.0,169,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,83,156,140,16,0,0.0,229,0.0,274,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,83,156,140,16,0,0.0,229,0.0,166,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,83,156,140,16,0,0.0,229,0.0,204,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,83,156,140,16,0,0.0,229,0.0,368,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,131,192,179,13,0,0.0,239,0.0,204,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,131,192,179,13,0,0.0,239,0.0,215,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,131,192,179,13,0,0.0,239,0.0,316,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,131,192,179,13,0,0.0,239,0.0,419,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,131,192,179,13,0,0.0,239,0.0,298,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,18,27,24,3,0,0.0,101,0.0,77,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,18,27,24,3,0,0.0,101,0.0,218,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,18,27,24,3,0,0.0,101,0.0,21,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,18,27,24,3,0,0.0,101,0.0,38,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,18,27,24,3,0,0.0,101,0.0,17,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,499,779,760,19,0,586.0,575,573.0,511,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,499,779,760,19,0,586.0,575,0.0,681,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,499,779,760,19,0,586.0,575,0.0,675,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,499,779,760,19,0,586.0,575,0.0,593,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,499,779,760,19,0,586.0,575,0.0,904,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,314,451,440,11,0,1275.0,669,55.0,586,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,314,451,440,11,0,1275.0,669,0.0,771,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,314,451,440,11,0,1275.0,669,0.0,715,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,314,451,440,11,0,1275.0,669,0.0,1005,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,314,451,440,11,0,1275.0,669,0.0,740,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,171,288,285,3,0,848.0,421,0.0,526,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,171,288,285,3,0,848.0,421,0.0,641,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,171,288,285,3,0,848.0,421,58.0,362,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,171,288,285,3,0,848.0,421,0.0,522,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,171,288,285,3,0,848.0,421,0.0,779,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,426,652,635,17,0,767.0,496,0.0,722,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,426,652,635,17,0,767.0,496,0.0,972,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,426,652,635,17,0,767.0,496,1.0,684,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,426,652,635,17,0,767.0,496,0.0,600,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,426,652,635,17,0,767.0,496,485.0,441,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,230,334,319,15,0,90.0,484,0.0,524,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,230,334,319,15,0,90.0,484,0.0,620,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,230,334,319,15,0,90.0,484,0.0,664,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,230,334,319,15,0,90.0,484,195.0,390,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,230,334,319,15,0,90.0,484,0.0,716,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,497,712,706,6,0,12366.0,590,0.0,820,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,497,712,706,6,0,12366.0,590,7.0,764,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,497,712,706,6,0,12366.0,590,1235.0,566,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,497,712,706,6,0,12366.0,590,0.0,1441,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,497,712,706,6,0,12366.0,590,2.0,927,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,427,473,469,4,0,40744.0,460,4143.0,722,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,427,473,469,4,0,40744.0,460,11397.0,439,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,427,473,469,4,0,40744.0,460,4844.0,755,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,427,473,469,4,0,40744.0,460,7852.0,742,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,427,473,469,4,0,40744.0,460,501.0,1702,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,15,30,15,15,0,0.0,50,0.0,11,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,15,30,15,15,0,0.0,50,0.0,159,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,15,30,15,15,0,0.0,50,0.0,54,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,15,30,15,15,0,0.0,50,0.0,11,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,15,30,15,15,0,0.0,50,0.0,12,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,225,344,325,19,0,0.0,465,0.0,803,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,225,344,325,19,0,0.0,465,0.0,411,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,225,344,325,19,0,0.0,465,0.0,474,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,225,344,325,19,0,0.0,465,9.0,366,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,225,344,325,19,0,0.0,465,0.0,535,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,205,340,333,7,0,139.0,445,0.0,471,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,205,340,333,7,0,139.0,445,0.0,698,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,205,340,333,7,0,139.0,445,0.0,337,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,205,340,333,7,0,139.0,445,0.0,456,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,205,340,333,7,0,139.0,445,0.0,387,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,100,152,138,14,0,0.0,371,0.0,427,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,100,152,138,14,0,0.0,371,0.0,559,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,100,152,138,14,0,0.0,371,0.0,304,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,100,152,138,14,0,0.0,371,0.0,304,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,100,152,138,14,0,0.0,371,0.0,482,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,299,507,489,18,0,0.0,547,0.0,831,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,299,507,489,18,0,0.0,547,0.0,691,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,299,507,489,18,0,0.0,547,0.0,581,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,299,507,489,18,0,0.0,547,128.0,497,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,299,507,489,18,0,0.0,547,0.0,651,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,24,42,30,12,0,0.0,121,0.0,267,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,24,42,30,12,0,0.0,121,0.0,18,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,24,42,30,12,0,0.0,121,0.0,128,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,24,42,30,12,0,0.0,121,0.0,17,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,24,42,30,12,0,0.0,121,0.0,41,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,268,386,383,3,0,6857.0,528,0.0,628,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,268,386,383,3,0,6857.0,528,0.0,694,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,268,386,383,3,0,6857.0,528,0.0,629,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,268,386,383,3,0,6857.0,528,0.0,989,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,268,386,383,3,0,6857.0,528,332.0,467,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,90,149,134,15,0,0.0,396,0.0,514,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,90,149,134,15,0,0.0,396,0.0,462,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,90,149,134,15,0,0.0,396,0.0,342,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,90,149,134,15,0,0.0,396,0.0,663,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,90,149,134,15,0,0.0,396,2.0,323,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
MuPlusLambda,200.0,,,,,0.0,404,725,716,9,0,2960.0,389,535.0,364,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,404,725,716,9,0,2960.0,389,0.0,512,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,404,725,716,9,0,2960.0,389,0.0,564,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,404,725,716,9,0,2960.0,389,0.0,1280,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,404,725,716,9,0,2960.0,389,4.0,634,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,167,260,259,1,0,8185.0,515,0.0,1510,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,167,260,259,1,0,8185.0,515,0.0,666,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,167,260,259,1,0,8185.0,515,0.0,672,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,167,260,259,1,0,8185.0,515,244.0,450,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,167,260,259,1,0,8185.0,515,0.0,749,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,161,219,212,7,0,890.0,323,0.0,355,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,161,219,212,7,0,890.0,323,0.0,602,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,161,219,212,7,0,890.0,323,70.0,234,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,161,219,212,7,0,890.0,323,0.0,437,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,161,219,212,7,0,890.0,323,0.0,393,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,180,204,198,6,0,3061.0,168,0.0,721,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,180,204,198,6,0,3061.0,168,353.0,183,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,180,204,198,6,0,3061.0,168,0.0,318,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,180,204,198,6,0,3061.0,168,0.0,267,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,180,204,198,6,0,3061.0,168,0.0,352,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,97,156,151,5,0,0.0,449,0.0,347,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,97,156,151,5,0,0.0,449,0.0,506,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,97,156,151,5,0,0.0,449,0.0,497,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,97,156,151,5,0,0.0,449,0.0,388,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,97,156,151,5,0,0.0,449,0.0,794,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,260,468,451,17,0,72.0,301,0.0,467,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,260,468,451,17,0,72.0,301,0.0,317,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,260,468,451,17,0,72.0,301,0.0,506,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,260,468,451,17,0,72.0,301,0.0,442,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,260,468,451,17,0,72.0,301,154.0,257,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,196,279,272,7,0,949.0,666,0.0,733,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,196,279,272,7,0,949.0,666,0.0,991,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,196,279,272,7,0,949.0,666,0.0,792,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,196,279,272,7,0,949.0,666,45.0,575,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,196,279,272,7,0,949.0,666,0.0,646,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,482,889,876,13,0,938.0,662,0.0,734,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,482,889,876,13,0,938.0,662,0.0,1137,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,482,889,876,13,0,938.0,662,247.0,576,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,482,889,876,13,0,938.0,662,0.0,709,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,482,889,876,13,0,938.0,662,0.0,875,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,142,242,232,10,0,0.0,475,0.0,624,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,142,242,232,10,0,0.0,475,0.0,656,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,142,242,232,10,0,0.0,475,0.0,409,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,142,242,232,10,0,0.0,475,0.0,431,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,142,242,232,10,0,0.0,475,0.0,495,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,126,209,190,19,0,0.0,434,0.0,502,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,126,209,190,19,0,0.0,434,0.0,464,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,126,209,190,19,0,0.0,434,0.0,594,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,126,209,190,19,0,0.0,434,0.0,325,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
